"","sample_size_n","number_covariates_J","coefficient_k","binary_covariates_1","number_unwanted_inS3","collider_bias_1","binary_treatment_1","meth","DS","bias","ese","rmse","pr.NAs","ase","typeI","max_sb.av","max_sb.max","confounders","total","total.lo","total.up"
"120",400,20,1,0,2,0,1,"post_lslx",FALSE,0.113301853803982,0.852285697213709,0.859361291216216,0,0.708975814916834,0.108,NA,NA,NA,NA,NA,NA
"121",400,20,1,0,2,0,1,"regsem.mle",FALSE,0.725437593186296,0.953249950025546,1.19751262346766,0,0.69124192665383,0.298,0.0594696961115774,0.484991574372229,0.285,0.11455,0,0.25
"122",400,20,1,0,2,0,1,"rlassoEffect.ds",TRUE,-0.013996119091867,0.843146280584486,0.842840818994087,0,0.810327392461749,0.055,NA,NA,NA,NA,NA,NA
"123",400,20,1,0,2,0,1,"stability_CBPS.CBPS",TRUE,-0.0149364474843262,0.968891125577548,0.968521739907348,0,0.820609046422756,0.102,0.205886437412788,0.521566626810451,0.992,0.6091,0.4,0.8
"124",400,20,1,0,2,0,1,"stability_mle.mle",TRUE,-0.0337610927466788,1.2625192582086,1.26233938932987,0,1.04944758121891,0.083,0.246880111765004,1.30585299773452,0.969,0.56095,0.35,0.75
"125",400,20,1,0,2,0,1,"target.mle",FALSE,-0.00306964338778344,0.766707053807507,0.766329752366667,0,0.741367930776806,0.06,0.069353403682092,0.53575105512943,NA,NA,NA,NA
"126",400,20,1,0,2,0,1,"unwanted.only.mle",FALSE,1.48745712770598,0.800645764195181,1.68905929820337,0,0.7688217198508,0.502,0.0627276427907667,0.435122064654068,NA,NA,NA,NA
"127",400,20,1,0,2,1,1,"SignifReg.mle",FALSE,0.21784839066713,0.96204290481047,0.985930497277434,0,0.797128664588471,0.126,0.0805491030584584,0.530378484884609,0.578,0.1733,0.15,0.2
"128",400,20,1,0,2,1,1,"all.ipw.CBPS",FALSE,0.32153487541768,0.827753519501136,0.887623450156278,0,0.820052986832645,0.083,0.203422798371926,0.368779299316337,NA,NA,NA,NA
"129",400,20,1,0,2,1,1,"all.ipw.GBM",FALSE,0.800834846837149,0.746550727516631,1.09458535650516,0,0.729556334669174,0.213,0.414251,0.558,NA,NA,NA,NA
"130",400,20,1,0,2,1,1,"glmnet.DS.mle",TRUE,-0.0562344517365096,0.979564815794316,0.980688530918923,0,0.88749591062107,0.077,0.152959121286968,0.968210655035977,1,0.5759,0.45,0.7
"131",400,20,1,0,2,1,1,"glmnet.mle",FALSE,0.0314764198177477,1.0026680281823,1.00266075846658,0,0.844028820383621,0.106,0.128317408475637,0.911133637758483,0.84,0.46625,0.35,0.6
"132",400,20,1,0,2,1,1,"lslx.mle",FALSE,0.151246325830222,1.03989382540575,1.05032054156149,0,0.819318495169638,0.129,0.105975863972032,0.661773958510787,0.704,0.30535,0.2,0.4
"133",400,20,1,0,2,1,1,"none.mle",FALSE,1.47702019693031,0.706609556074123,1.6371885749084,0,0.682467943610555,0.588,NA,NA,NA,NA,NA,NA
"134",400,20,1,0,2,1,1,"post_lslx",FALSE,0.100476440856634,0.960308377111171,0.96507279628946,0,0.743787687376289,0.139,NA,NA,NA,NA,NA,NA
